category,id,geojson_file,source,year,description,display_name,state,label
city,malajkhand,cities/malajkhand.geojson,SBM/ramSeraph,,"","Malajkhand","Madhya Pradesh","Wards"
city,malanpur,cities/malanpur.geojson,SBM/ramSeraph,,"","Malanpur","Madhya Pradesh","Wards"
city,malebennuru,cities/malebennuru.geojson,SBM/ramSeraph,,"","Malebennuru","Karnataka","Wards"
city,malegao_zahangir,cities/malegao_zahangir.geojson,SBM/ramSeraph,,"","Malegao Zahangir","Maharashtra","Wards"
city,malegaon,cities/malegaon.geojson,SBM/ramSeraph,,"","Malegaon","Maharashtra","Wards"
city,malerkotla,cities/malerkotla.geojson,SBM/ramSeraph,,"","Malerkotla","Punjab","Wards"
city,malhar,cities/malhar.geojson,SBM/ramSeraph,,"","Malhar","Chhattisgarh","Wards"
city,malhargarh,cities/malhargarh.geojson,SBM/ramSeraph,,"","Malhargarh","Madhya Pradesh","Wards"
city,malihabad,cities/malihabad.geojson,SBM/ramSeraph,,"","Malihabad","Uttar Pradesh","Wards"
city,malkapur_b,cities/malkapur_b.geojson,SBM/ramSeraph,,"","Malkapur_B","Maharashtra","Wards"
city,mallanwala_khass,cities/mallanwala_khass.geojson,SBM/ramSeraph,,"","Mallanwala Khass","Punjab","Wards"
city,mallawan,cities/mallawan.geojson,SBM/ramSeraph,,"","Mallawan","Uttar Pradesh","Wards"
city,maloud,cities/maloud.geojson,SBM/ramSeraph,,"","Maloud","Punjab","Wards"
city,malout,cities/malout.geojson,SBM/ramSeraph,,"","Malout","Punjab","Wards"
city,malpura,cities/malpura.geojson,SBM/ramSeraph,,"","Malpura","Rajasthan","Wards"
city,malshiras,cities/malshiras.geojson,SBM/ramSeraph,,"","Malshiras","Maharashtra","Wards"
city,maluka,cities/maluka.geojson,SBM/ramSeraph,,"","Maluka","Punjab","Wards"
city,malur,cities/malur.geojson,SBM/ramSeraph,,"","Malur","Karnataka","Wards"
city,mamdot,cities/mamdot.geojson,SBM/ramSeraph,,"","Mamdot)","Punjab","Wards"
city,mana_camp,cities/mana_camp.geojson,SBM/ramSeraph,,"","Mana-Camp","Chhattisgarh","Wards"
city,manamadurai,cities/manamadurai.geojson,SBM/ramSeraph,,"","Manamadurai","Tamil Nadu","Wards"
city,manapparai,cities/manapparai.geojson,SBM/ramSeraph,,"","Manapparai","Tamil Nadu","Wards"
city,manasa,cities/manasa.geojson,SBM/ramSeraph,,"","Manasa","Madhya Pradesh","Wards"
city,manawar,cities/manawar.geojson,SBM/ramSeraph,,"","Manawar","Madhya Pradesh","Wards"
city,manchar,cities/manchar.geojson,SBM/ramSeraph,,"","Manchar","Maharashtra","Wards"
city,mandalgarh,cities/mandalgarh.geojson,SBM/ramSeraph,,"","Mandalgarh","Rajasthan","Wards"
city,mandamarri,cities/mandamarri.geojson,SBM/ramSeraph,,"","Mandamarri","Telangana","Wards"
city,mandangad,cities/mandangad.geojson,SBM/ramSeraph,,"","Mandangad","Maharashtra","Wards"
city,mandapeta,cities/mandapeta.geojson,SBM/ramSeraph,,"","Mandapeta","Andhra Pradesh","Wards"
city,mandav,cities/mandav.geojson,SBM/ramSeraph,,"","Mandav","Madhya Pradesh","Wards"
city,mandawa,cities/mandawa.geojson,SBM/ramSeraph,,"","Mandawa","Rajasthan","Wards"
city,mandawar,cities/mandawar.geojson,SBM/ramSeraph,,"","Mandawar","Uttar Pradesh","Wards"
city,mandawari,cities/mandawari.geojson,SBM/ramSeraph,,"","Mandawari","Rajasthan","Wards"
city,mandhata,cities/mandhata.geojson,SBM/ramSeraph,,"","Mandhata","Uttar Pradesh","Wards"
city,mandi,cities/mandi.geojson,SBM/ramSeraph,,"","Mandi","Himachal Pradesh","Wards"
city,mandi_dabwali,cities/mandi_dabwali.geojson,SBM/ramSeraph,,"","Mandi Dabwali","Haryana","Wards"
city,mandir_hasoud,cities/mandir_hasoud.geojson,SBM/ramSeraph,,"","Mandir Hasoud","Chhattisgarh","Wards"
city,mandleshwar,cities/mandleshwar.geojson,SBM/ramSeraph,,"","Mandleshwar","Madhya Pradesh","Wards"
city,mandsaur,cities/mandsaur.geojson,SBM/ramSeraph,,"","Mandsaur","Madhya Pradesh","Wards"
city,mandya,cities/mandya.geojson,SBM/ramSeraph,,"","Mandya","Karnataka","Wards"
city,manendragarh,cities/manendragarh.geojson,SBM/ramSeraph,,"","Manendragarh","Chhattisgarh","Wards"
city,maner,cities/maner.geojson,SBM/ramSeraph,,"","Maner","Bihar","Wards"
city,mangalore,cities/mangalore.geojson,SBM/ramSeraph,,"","Mangalore","Karnataka","Wards"
city,mangaluru,cities/mangaluru.geojson,LivingAtlas/ramSeraph,,"","Mangaluru","Karnataka","Wards"
city,mangaon,cities/mangaon.geojson,SBM/ramSeraph,,"","Mangaon","Maharashtra","Wards"
city,mangawan,cities/mangawan.geojson,SBM/ramSeraph,,"","Mangawan","Madhya Pradesh","Wards"
city,manglaur,cities/manglaur.geojson,SBM/ramSeraph,,"","Manglaur","Uttarakhand","Wards"
city,mangrauni,cities/mangrauni.geojson,SBM/ramSeraph,,"","Mangrauni","Madhya Pradesh","Wards"
city,mangrol,cities/mangrol.geojson,SBM/ramSeraph,,"","Mangrol","Rajasthan","Wards"
city,mangrulpir,cities/mangrulpir.geojson,SBM/ramSeraph,,"","Mangrulpir","Maharashtra","Wards"
city,manikpur,cities/manikpur.geojson,SBM/ramSeraph,,"","Manikpur","Uttar Pradesh","Wards"
city,maniyar,cities/maniyar.geojson,SBM/ramSeraph,,"","Maniyar","Uttar Pradesh","Wards"
city,manjhanpur,cities/manjhanpur.geojson,SBM/ramSeraph,,"","Manjhanpur","Uttar Pradesh","Wards"
city,manjholi,cities/manjholi.geojson,SBM/ramSeraph,,"","Manjholi","Madhya Pradesh","Wards"
city,manmad,cities/manmad.geojson,SBM/ramSeraph,,"","Manmad","Maharashtra","Wards"
city,mannargudi,cities/mannargudi.geojson,SBM/ramSeraph,,"","Mannargudi","Tamil Nadu","Wards"
city,mannarkkad,cities/mannarkkad.geojson,SBM/ramSeraph,,"","Mannarkkad","Kerala","Wards"
city,manora,cities/manora.geojson,SBM/ramSeraph,,"","Manora","Maharashtra","Wards"
city,manpur_u,cities/manpur_u.geojson,SBM/ramSeraph,,"","Manpur-U","Madhya Pradesh","Wards"
city,mansa,cities/mansa.geojson,SBM/ramSeraph,,"","Mansa","Punjab","Wards"
city,mantha,cities/mantha.geojson,SBM/ramSeraph,,"","Mantha","Maharashtra","Wards"
city,manthani,cities/manthani.geojson,SBM/ramSeraph,,"","Manthani","Telangana","Wards"
city,manugur,cities/manugur.geojson,SBM/ramSeraph,,"","Manugur","Telangana","Wards"
city,manvi,cities/manvi.geojson,SBM/ramSeraph,,"","Manvi","Karnataka","Wards"
city,maregaon,cities/maregaon.geojson,SBM/ramSeraph,,"","Maregaon","Maharashtra","Wards"
city,marehra,cities/marehra.geojson,SBM/ramSeraph,,"","Marehra","Uttar Pradesh","Wards"
city,mariahu,cities/mariahu.geojson,SBM/ramSeraph,,"","Mariahu","Uttar Pradesh","Wards"
city,maripeda,cities/maripeda.geojson,SBM/ramSeraph,,"","Maripeda","Telangana","Wards"
city,mariyammanahalli,cities/mariyammanahalli.geojson,SBM/ramSeraph,,"","Mariyammanahalli","Karnataka","Wards"
city,markapur,cities/markapur.geojson,SBM/ramSeraph,,"","Markapur","Andhra Pradesh","Wards"
city,maro,cities/maro.geojson,SBM/ramSeraph,,"","Maro","Chhattisgarh","Wards"
city,masaurhi,cities/masaurhi.geojson,SBM/ramSeraph,,"","Masaurhi","Bihar","Wards"
city,maswasi,cities/maswasi.geojson,SBM/ramSeraph,,"","Maswasi","Uttar Pradesh","Wards"
city,matheran,cities/matheran.geojson,SBM/ramSeraph,,"","Matheran","Maharashtra","Wards"
city,mathura_vrindavan,cities/mathura_vrindavan.geojson,SBM/ramSeraph,,"","Mathura Vrindavan","Uttar Pradesh","Wards"
city,mattan,cities/mattan.geojson,SBM/ramSeraph,,"","Mattan","Jammu & Kashmir","Wards"
city,mattannur,cities/mattannur.geojson,SBM/ramSeraph,,"","Mattannur","Kerala","Wards"
city,mau_aima,cities/mau_aima.geojson,SBM/ramSeraph,,"","Mau Aima","Uttar Pradesh","Wards"
city,mau_mp,cities/mau_mp.geojson,SBM/ramSeraph,,"","Mau","Madhya Pradesh","Wards"
city,mau_up,cities/mau_up.geojson,SBM/ramSeraph,,"","Mau","Uttar Pradesh","Wards"
city,maudaha,cities/maudaha.geojson,SBM/ramSeraph,,"","Maudaha","Uttar Pradesh","Wards"
city,mauganj,cities/mauganj.geojson,SBM/ramSeraph,,"","Mauganj","Madhya Pradesh","Wards"
city,maunath_bhanjan,cities/maunath_bhanjan.geojson,SBM/ramSeraph,,"","Maunath Bhanjan","Uttar Pradesh","Wards"
city,maur,cities/maur.geojson,SBM/ramSeraph,,"","Maur","Punjab","Wards"
city,mauranipur,cities/mauranipur.geojson,SBM/ramSeraph,,"","Mauranipur","Uttar Pradesh","Wards"
city,mavelikkara,cities/mavelikkara.geojson,SBM/ramSeraph,,"","Mavelikkara","Kerala","Wards"
city,mawana,cities/mawana.geojson,SBM/ramSeraph,,"","Mawana","Uttar Pradesh","Wards"
city,mcbaramulla,cities/mcbaramulla.geojson,SBM/ramSeraph,,"","Mcbaramulla","Jammu & Kashmir","Wards"
city,mcdaryapur,cities/mcdaryapur.geojson,SBM/ramSeraph,,"","Mcdaryapur","Maharashtra","Wards"
city,mcpulwama,cities/mcpulwama.geojson,SBM/ramSeraph,,"","Mcpulwama","Jammu & Kashmir","Wards"
city,medak,cities/medak.geojson,SBM/ramSeraph,,"","Medak","Telangana","Wards"
city,medchal,cities/medchal.geojson,SBM/ramSeraph,,"","Medchal","Telangana","Wards"
city,medha,cities/medha.geojson,SBM/ramSeraph,,"","Medha","Maharashtra","Wards"
city,medininagar_daltonganj,cities/medininagar_daltonganj.geojson,SBM/ramSeraph,,"","Medininagar Daltonganj","Jharkhand","Wards"
city,meerapur,cities/meerapur.geojson,SBM/ramSeraph,,"","Meerapur","Uttar Pradesh","Wards"
city,meerpet,cities/meerpet.geojson,SBM/ramSeraph,,"","Meerpet","Telangana","Wards"
city,meerut_cantt,cities/meerut_cantt.geojson,SBM/ramSeraph,,"","Meerut Cantt","Uttar Pradesh","Wards"
city,meerut_city,cities/meerut_city.geojson,SBM/ramSeraph,,"","Meerut City","Uttar Pradesh","Wards"
city,meghnagar,cities/meghnagar.geojson,SBM/ramSeraph,,"","Meghnagar","Madhya Pradesh","Wards"
city,mehatpur,cities/mehatpur.geojson,SBM/ramSeraph,,"","Mehatpur","Punjab","Wards"
city,mehgaon,cities/mehgaon.geojson,SBM/ramSeraph,,"","Mehgaon","Madhya Pradesh","Wards"
city,mehkar,cities/mehkar.geojson,SBM/ramSeraph,,"","Mehkar","Maharashtra","Wards"
city,mehmoodpur_mafi,cities/mehmoodpur_mafi.geojson,SBM/ramSeraph,,"","Mehmoodpur Mafi","Uttar Pradesh","Wards"
city,mehnagar,cities/mehnagar.geojson,SBM/ramSeraph,,"","Mehnagar","Uttar Pradesh","Wards"
city,mehraj,cities/mehraj.geojson,SBM/ramSeraph,,"","Mehraj","Punjab","Wards"
city,mehrauni,cities/mehrauni.geojson,SBM/ramSeraph,,"","Mehrauni","Uttar Pradesh","Wards"
city,melattur,cities/melattur.geojson,SBM/ramSeraph,,"","Melattur","Tamil Nadu","Wards"
city,melur,cities/melur.geojson,SBM/ramSeraph,,"","Melur","Tamil Nadu","Wards"
city,melvisharam,cities/melvisharam.geojson,SBM/ramSeraph,,"","Melvisharam","Tamil Nadu","Wards"
city,mendu,cities/mendu.geojson,SBM/ramSeraph,,"","Mendu","Uttar Pradesh","Wards"
city,merta_city,cities/merta_city.geojson,SBM/ramSeraph,,"","Merta City","Rajasthan","Wards"
city,metpalli,cities/metpalli.geojson,SBM/ramSeraph,,"","Metpalli","Telangana","Wards"
city,mettupalayam,cities/mettupalayam.geojson,SBM/ramSeraph,,"","Mettupalayam","Tamil Nadu","Wards"
city,mettur,cities/mettur.geojson,SBM/ramSeraph,,"","Mettur","Tamil Nadu","Wards"
city,mhasla,cities/mhasla.geojson,SBM/ramSeraph,,"","Mhasla","Maharashtra","Wards"
city,mhowgaon,cities/mhowgaon.geojson,SBM/ramSeraph,,"","Mhowgaon","Madhya Pradesh","Wards"
city,midnapore,cities/midnapore.geojson,WB_AMRUT/ramSeraph,,"","Midnapore","West Bengal","Wards"
city,miheepurva,cities/miheepurva.geojson,SBM/ramSeraph,,"","Miheepurva","Uttar Pradesh","Wards"
city,mihijam,cities/mihijam.geojson,SBM/ramSeraph,,"","Mihijam","Jharkhand","Wards"
city,mihona,cities/mihona.geojson,SBM/ramSeraph,,"","Mihona","Madhya Pradesh","Wards"
city,mirehchi,cities/mirehchi.geojson,SBM/ramSeraph,,"","Mirehchi","Uttar Pradesh","Wards"
city,mirganj,cities/mirganj.geojson,SBM/ramSeraph,,"","Mirganj","Uttar Pradesh","Wards"
city,miryalaguda,cities/miryalaguda.geojson,SBM/ramSeraph,,"","Miryalaguda","Telangana","Wards"
city,mirzapur_cum_vindhyachal,cities/mirzapur_cum_vindhyachal.geojson,SBM/ramSeraph,,"","Mirzapur-Cum-Vindhyachal","Uttar Pradesh","Wards"
city,mk_hubli_tp,cities/mk_hubli_tp.geojson,SBM/ramSeraph,,"","Mk Hubli Tp","Karnataka","Wards"
city,modinagar,cities/modinagar.geojson,SBM/ramSeraph,,"","Modinagar","Uttar Pradesh","Wards"
city,moga,cities/moga.geojson,SBM/ramSeraph,,"","Moga","Punjab","Wards"
city,mogra_badshahpur,cities/mogra_badshahpur.geojson,SBM/ramSeraph,,"","Mogra Badshahpur","Uttar Pradesh","Wards"
city,mohadi,cities/mohadi.geojson,SBM/ramSeraph,,"","Mohadi","Maharashtra","Wards"
city,mohammadabad,cities/mohammadabad.geojson,SBM/ramSeraph,,"","Mohammadabad","Uttar Pradesh","Wards"
city,mohammadi,cities/mohammadi.geojson,SBM/ramSeraph,,"","Mohammadi","Uttar Pradesh","Wards"
city,mohan,cities/mohan.geojson,SBM/ramSeraph,,"","Mohan","Uttar Pradesh","Wards"
city,mohanpur,cities/mohanpur.geojson,SBM/ramSeraph,,"","Mohanpur","Uttar Pradesh","Wards"
city,mohgaon,cities/mohgaon.geojson,SBM/ramSeraph,,"","Mohgaon","Madhya Pradesh","Wards"
city,mohna,cities/mohna.geojson,SBM/ramSeraph,,"","Mohna","Madhya Pradesh","Wards"
city,mohol,cities/mohol.geojson,SBM/ramSeraph,,"","Mohol","Maharashtra","Wards"
city,mohpa,cities/mohpa.geojson,SBM/ramSeraph,,"","Mohpa","Maharashtra","Wards"
city,moirang,cities/moirang.geojson,LivingAtlas/ramSeraph,,"","Moirang","Manipur","Wards"
city,mokameh,cities/mokameh.geojson,SBM/ramSeraph,,"","Mokameh","Bihar","Wards"
city,mokhada,cities/mokhada.geojson,SBM/ramSeraph,,"","Mokhada","Maharashtra","Wards"
city,molakalmuru,cities/molakalmuru.geojson,SBM/ramSeraph,,"","Molakalmuru","Karnataka","Wards"
city,moonak,cities/moonak.geojson,SBM/ramSeraph,,"","Moonak","Punjab","Wards"
city,moradabad,cities/moradabad.geojson,SBM/ramSeraph,,"","Moradabad","Uttar Pradesh","Wards"
city,morbi,cities/morbi.geojson,SBM/ramSeraph,,"","Morbi","Gujarat","Wards"
city,morena,cities/morena.geojson,SBM/ramSeraph,,"","Morena","Madhya Pradesh","Wards"
city,morinda,cities/morinda.geojson,SBM/ramSeraph,,"","Morinda","Punjab","Wards"
city,mormugoa,cities/mormugoa.geojson,SBM/ramSeraph,,"","Mormugoa","Goa","Wards"
city,morshi,cities/morshi.geojson,SBM/ramSeraph,,"","Morshi","Maharashtra","Wards"
city,motala,cities/motala.geojson,SBM/ramSeraph,,"","Motala","Maharashtra","Wards"
city,mothkur,cities/mothkur.geojson,SBM/ramSeraph,,"","Mothkur","Telangana","Wards"
city,motihari,cities/motihari.geojson,SBM/ramSeraph,,"","Motihari","Bihar","Wards"
city,mount_abu,cities/mount_abu.geojson,SBM/ramSeraph,,"","Mount Abu","Rajasthan","Wards"
city,mowad,cities/mowad.geojson,SBM/ramSeraph,,"","Mowad","Maharashtra","Wards"
city,mubarakpur,cities/mubarakpur.geojson,SBM/ramSeraph,,"","Mubarakpur","Uttar Pradesh","Wards"
city,mudalagi_tmc,cities/mudalagi_tmc.geojson,SBM/ramSeraph,,"","Mudalagi Tmc","Karnataka","Wards"
city,mudbidri,cities/mudbidri.geojson,SBM/ramSeraph,,"","Mudbidri","Karnataka","Wards"
city,muddebihal,cities/muddebihal.geojson,SBM/ramSeraph,,"","Muddebihal","Karnataka","Wards"
city,mudgal,cities/mudgal.geojson,SBM/ramSeraph,,"","Mudgal","Karnataka","Wards"
city,mudhol,cities/mudhol.geojson,SBM/ramSeraph,,"","Mudhol","Karnataka","Wards"
city,mudigere,cities/mudigere.geojson,SBM/ramSeraph,,"","Mudigere","Karnataka","Wards"
city,mudki,cities/mudki.geojson,SBM/ramSeraph,,"","Mudki","Punjab","Wards"
city,muhammadabad_gohna,cities/muhammadabad_gohna.geojson,SBM/ramSeraph,,"","Muhammadabad Gohna","Uttar Pradesh","Wards"
city,mukandgarh,cities/mukandgarh.geojson,SBM/ramSeraph,,"","Mukandgarh","Rajasthan","Wards"
city,mukerian,cities/mukerian.geojson,SBM/ramSeraph,,"","Mukerian","Punjab","Wards"
city,mukkam,cities/mukkam.geojson,SBM/ramSeraph,,"","Mukkam","Kerala","Wards"
city,muktainagar,cities/muktainagar.geojson,SBM/ramSeraph,,"","Muktainagar","Maharashtra","Wards"
city,muktsar,cities/muktsar.geojson,SBM/ramSeraph,,"","Muktsar","Punjab","Wards"
city,mul,cities/mul.geojson,SBM/ramSeraph,,"","Mul","Maharashtra","Wards"
city,mulagund,cities/mulagund.geojson,SBM/ramSeraph,,"","Mulagund","Karnataka","Wards"
city,mulchera,cities/mulchera.geojson,SBM/ramSeraph,,"","Mulchera","Maharashtra","Wards"
city,mulki,cities/mulki.geojson,SBM/ramSeraph,,"","Mulki","Karnataka","Wards"
city,mullanpur_dakha,cities/mullanpur_dakha.geojson,SBM/ramSeraph,,"","Mullanpur Dakha","Punjab","Wards"
city,multai,cities/multai.geojson,SBM/ramSeraph,,"","Multai","Madhya Pradesh","Wards"
city,mummidivaram,cities/mummidivaram.geojson,SBM/ramSeraph,,"","Mummidivaram","Andhra Pradesh","Wards"
city,munavalli,cities/munavalli.geojson,SBM/ramSeraph,,"","Munavalli","Karnataka","Wards"
city,munawali,cities/munawali.geojson,SBM/ramSeraph,,"","Munawali","Madhya Pradesh","Wards"
city,mundargi,cities/mundargi.geojson,SBM/ramSeraph,,"","Mundargi","Karnataka","Wards"
city,mundervan,cities/mundervan.geojson,SBM/ramSeraph,,"","Mundervan","Uttar Pradesh","Wards"
city,mundgod,cities/mundgod.geojson,SBM/ramSeraph,,"","Mundgod","Karnataka","Wards"
city,mundi,cities/mundi.geojson,SBM/ramSeraph,,"","Mundi","Madhya Pradesh","Wards"
city,mundwa,cities/mundwa.geojson,SBM/ramSeraph,,"","Mundwa","Rajasthan","Wards"
city,mungeli,cities/mungeli.geojson,SBM/ramSeraph,,"","Mungeli","Chhattisgarh","Wards"
city,munger,cities/munger.geojson,SBM/ramSeraph,,"","Munger","Bihar","Wards"
city,muni_ki_reti,cities/muni_ki_reti.geojson,SBM/ramSeraph,,"","Muni-Ki-Reti","Uttarakhand","Wards"
city,murbad,cities/murbad.geojson,SBM/ramSeraph,,"","Murbad","Maharashtra","Wards"
city,mursan,cities/mursan.geojson,SBM/ramSeraph,,"","Mursan","Uttar Pradesh","Wards"
city,murtizapur,cities/murtizapur.geojson,SBM/ramSeraph,,"","Murtizapur","Maharashtra","Wards"
city,murwara,cities/murwara.geojson,SBM/ramSeraph,,"","Murwara","Madhya Pradesh","Wards"
city,musafirkhana,cities/musafirkhana.geojson,SBM/ramSeraph,,"","Musafirkhana","Uttar Pradesh","Wards"
city,muvattupuzha,cities/muvattupuzha.geojson,SBM/ramSeraph,,"","Muvattupuzha","Kerala","Wards"
city,muzaffarnagar,cities/muzaffarnagar.geojson,SBM/ramSeraph,,"","Muzaffarnagar","Uttar Pradesh","Wards"
city,muzaffarpur,cities/muzaffarpur.geojson,SBM/ramSeraph,,"","Muzaffarpur","Bihar","Wards"
city,mydukur,cities/mydukur.geojson,SBM/ramSeraph,,"","Mydukur","Andhra Pradesh","Wards"
city,mysore,cities/mysore.geojson,SBM/ramSeraph,,"","Mysore","Karnataka","Wards"
city,n_p_aheri,cities/n_p_aheri.geojson,SBM/ramSeraph,,"","N P Aheri","Maharashtra","Wards"
city,nabadwip,cities/nabadwip.geojson,WB_AMRUT/ramSeraph,,"","Nabadwip","West Bengal","Wards"
city,nabha,cities/nabha.geojson,SBM/ramSeraph,,"","Nabha","Punjab","Wards"
city,nadala,cities/nadala.geojson,SBM/ramSeraph,,"","Nadala","Punjab","Wards"
city,nadbai,cities/nadbai.geojson,SBM/ramSeraph,,"","Nadbai","Rajasthan","Wards"
city,nadiad,cities/nadiad.geojson,SBM/ramSeraph,,"","Nadiad","Gujarat","Wards"
city,nadiupet,cities/nadiupet.geojson,SBM/ramSeraph,,"","Nadiupet","Andhra Pradesh","Wards"
city,nagaon_mb,cities/nagaon_mb.geojson,SBM/ramSeraph,,"","Nagaon Mb","Assam","Wards"
city,nagar,cities/nagar.geojson,SBM/ramSeraph,,"","Nagar","Rajasthan","Wards"
city,nagar_nigam_greater_jaipur,cities/nagar_nigam_greater_jaipur.geojson,SBM/ramSeraph,,"","Nagar Nigam Greater Jaipur","Rajasthan","Wards"
city,nagar_nigam_rudrapur,cities/nagar_nigam_rudrapur.geojson,SBM/ramSeraph,,"","Nagar Nigam Rudrapur","Uttarakhand","Wards"
city,nagar_nigam_shahjahanpur,cities/nagar_nigam_shahjahanpur.geojson,SBM/ramSeraph,,"","Nagar Nigam Shahjahanpur","Uttar Pradesh","Wards"
city,nagar_palika_gopeshwar,cities/nagar_palika_gopeshwar.geojson,SBM/ramSeraph,,"","Nagar Palika Gopeshwar","Uttarakhand","Wards"
city,nagar_palika_parishad_biswan,cities/nagar_palika_parishad_biswan.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Biswan","Uttar Pradesh","Wards"
city,nagar_palika_parishad_garhmukteshwar,cities/nagar_palika_parishad_garhmukteshwar.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Garhmukteshwar","Uttar Pradesh","Wards"
city,nagar_palika_parishad_khairabad,cities/nagar_palika_parishad_khairabad.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Khairabad","Uttar Pradesh","Wards"
city,nagar_palika_parishad_kushinagar,cities/nagar_palika_parishad_kushinagar.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Kushinagar","Uttar Pradesh","Wards"
city,nagar_palika_parishad_mahrajganj,cities/nagar_palika_parishad_mahrajganj.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Mahrajganj","Uttar Pradesh","Wards"
city,nagar_palika_parishad_pithoragarh,cities/nagar_palika_parishad_pithoragarh.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Pithoragarh","Uttarakhand","Wards"
city,nagar_palika_parishad_powayan,cities/nagar_palika_parishad_powayan.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Powayan","Uttar Pradesh","Wards"
city,nagar_palika_parishad_rath,cities/nagar_palika_parishad_rath.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Rath","Uttar Pradesh","Wards"
city,nagar_palika_parishad_sardhana,cities/nagar_palika_parishad_sardhana.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Sardhana","Uttar Pradesh","Wards"
city,nagar_palika_parishad_shamli,cities/nagar_palika_parishad_shamli.geojson,SBM/ramSeraph,,"","Nagar Palika Parishad Shamli","Uttar Pradesh","Wards"
city,nagaram,cities/nagaram.geojson,SBM/ramSeraph,,"","Nagaram","Telangana","Wards"
city,nagari,cities/nagari.geojson,SBM/ramSeraph,,"","Nagari","Andhra Pradesh","Wards"
city,nagarkurnool,cities/nagarkurnool.geojson,SBM/ramSeraph,,"","Nagarkurnool","Telangana","Wards"
city,nagarpanchayat_dharni,cities/nagarpanchayat_dharni.geojson,SBM/ramSeraph,,"","Nagarpanchayat Dharni","Maharashtra","Wards"
city,nagaur,cities/nagaur.geojson,SBM/ramSeraph,,"","Nagaur","Rajasthan","Wards"
city,nagbhid,cities/nagbhid.geojson,SBM/ramSeraph,,"","Nagbhid","Maharashtra","Wards"
city,nagda,cities/nagda.geojson,SBM/ramSeraph,,"","Nagda","Madhya Pradesh","Wards"
city,nagercoil,cities/nagercoil.geojson,SBM/ramSeraph,,"","Nagercoil","Tamil Nadu","Wards"
city,nagina,cities/nagina.geojson,SBM/ramSeraph,,"","Nagina","Uttar Pradesh","Wards"
city,nagod,cities/nagod.geojson,SBM/ramSeraph,,"","Nagod","Madhya Pradesh","Wards"
city,nagri_cg,cities/nagri_cg.geojson,SBM/ramSeraph,,"","Nagri","Chhattisgarh","Wards"
city,nagri_mp,cities/nagri_mp.geojson,SBM/ramSeraph,,"","Nagri","Madhya Pradesh","Wards"
city,nahan,cities/nahan.geojson,SBM/ramSeraph,,"","Nahan","Himachal Pradesh","Wards"
city,nai_bazar,cities/nai_bazar.geojson,SBM/ramSeraph,,"","Nai Bazar","Uttar Pradesh","Wards"
city,naigaon,cities/naigaon.geojson,SBM/ramSeraph,,"","Naigaon","Maharashtra","Wards"
city,naigarhi,cities/naigarhi.geojson,SBM/ramSeraph,,"","Naigarhi","Madhya Pradesh","Wards"
city,naihati,cities/naihati.geojson,SBM/ramSeraph,,"","Naihati","West Bengal","Wards"
city,naila_janjgir,cities/naila_janjgir.geojson,SBM/ramSeraph,,"","Naila-Janjgir","Chhattisgarh","Wards"
city,nailedri,cities/nailedri.geojson,SBM/ramSeraph,,"","Nailedri","Chhattisgarh","Wards"
city,nainital,cities/nainital.geojson,SBM/ramSeraph,,"","Nainital","Uttarakhand","Wards"
city,nainpur,cities/nainpur.geojson,SBM/ramSeraph,,"","Nainpur","Madhya Pradesh","Wards"
city,nainwa,cities/nainwa.geojson,SBM/ramSeraph,,"","Nainwa","Rajasthan","Wards"
city,najibabad,cities/najibabad.geojson,SBM/ramSeraph,,"","Najibabad","Uttar Pradesh","Wards"
city,nakodar,cities/nakodar.geojson,SBM/ramSeraph,,"","Nakodar","Punjab","Wards"
city,nakrekal,cities/nakrekal.geojson,SBM/ramSeraph,,"","Nakrekal","Telangana","Wards"
city,nakur,cities/nakur.geojson,SBM/ramSeraph,,"","Nakur","Uttar Pradesh","Wards"
city,nalatwad,cities/nalatwad.geojson,SBM/ramSeraph,,"","Nalatwad","Karnataka","Wards"
city,nalgonda,cities/nalgonda.geojson,SBM/ramSeraph,,"","Nalgonda","Telangana","Wards"
city,nalkheda,cities/nalkheda.geojson,SBM/ramSeraph,,"","Nalkheda","Madhya Pradesh","Wards"
city,namakkal,cities/namakkal.geojson,SBM/ramSeraph,,"","Namakkal","Tamil Nadu","Wards"
city,namli,cities/namli.geojson,SBM/ramSeraph,,"","Namli","Madhya Pradesh","Wards"
city,namrup,cities/namrup.geojson,SBM/ramSeraph,,"","Namrup","Assam","Wards"
city,nanauta,cities/nanauta.geojson,SBM/ramSeraph,,"","Nanauta","Uttar Pradesh","Wards"
city,nanded_waghala,cities/nanded_waghala.geojson,LivingAtlas/ramSeraph,,"","Nanded-Waghala","Maharashtra","Wards"
city,nanded_waghala_city_municipal_corporation_nanded,cities/nanded_waghala_city_municipal_corporation_nanded.geojson,SBM/ramSeraph,,"","Nanded Waghala City Municipal Corporation, Nanded","Maharashtra","Wards"
